top_n,algorithm,dataset,scene,synonyms,depictions,vis_sim,clutter,incorrect,missing
top_10,concept-fusion,scannetpp,0a76e06478,0.40125015354782145,0.0474843426177029,0.04938372588249186,0.10693425448417342,0.37241930108771565,0.022528222379022682
top_10,concept-fusion,scannetpp,0a7cc12c0e,0.34360986847853336,0.017543759056481662,0.03147118860326686,0.11004538697943966,0.46724257619492277,0.030087220687445296
top_10,concept-fusion,scannetpp,1f7cbbdde1,0.3849462318153124,0.006679469939693053,0.05749776193213719,0.10036529532070586,0.40117939210688897,0.04933184888491797
top_10,concept-fusion,scannetpp,49a82360aa,0.26290938602967256,0.007124066375514669,0.061778009695309916,0.11909491787052372,0.5310378084904601,0.01805581153830558
top_10,concept-fusion,scannetpp,4c5c60fa76,0.3113088107451611,0.007948013586853231,0.033487172761943115,0.061435516860951,0.5576507404533612,0.02816974559133907
top_10,concept-fusion,scannetpp,8a35ef3cfe,0.36096242628059777,0.002880696521781154,0.0280894203013099,0.034027850940753335,0.5080081334271598,0.06603147252991111
top_10,concept-fusion,scannetpp,c0f5742640,0.2666100994334393,0.015281068673526993,0.06676921421512372,0.10397802245220077,0.4646945363502527,0.08266705887566528
top_10,concept-fusion,scannetpp,fd361ab85f,0.49098374461887234,0.0004997501249375313,0.02297944604544766,0.06287313656305972,0.37674164006788796,0.045922282579853826
top_10,concept-graphs,hm3d,00824,0.3465722100683552,0.017416870869398957,0.018327347399210468,0.16647658837443924,0.35295695093824303,0.0982500323508511
top_10,concept-graphs,hm3d,00829,0.26997323794133943,0.05108575646114042,0.05898444422434491,0.20350759048745679,0.31386697894118276,0.10258199194484707
top_10,concept-graphs,hm3d,00843,0.20230500294968343,0.014859123814144864,0.06022119054967823,0.14325736518771037,0.4669554134975739,0.11240190400083347
top_10,concept-graphs,hm3d,00847,0.41064618337144326,0.000463714351959193,0.03289934094913702,0.1286059005577059,0.33304544567877553,0.09433941509086431
top_10,concept-graphs,hm3d,00873,0.3749865355523648,0.04007931387029073,0.0226945619904938,0.1670975060285501,0.34915730834266007,0.045984774215222464
top_10,concept-graphs,hm3d,00877,0.40332773517770654,0.015413103714634458,0.03838208362778495,0.13171349982356445,0.3428824002432699,0.06828117741316062
top_10,concept-graphs,hm3d,00890,0.3547571458152818,0.015214773857571856,0.06148252502928319,0.20436070419578856,0.2944436734185844,0.06974117768372066
top_10,concept-graphs,replica,office0,0.3973740256742033,0.022969301820157294,0.13885190755221988,0.3710260668947028,0.06462134889720887,0.005157349161538449
top_10,concept-graphs,replica,office1,0.28879580968336416,0.029753265602322203,0.29122878742907976,0.13646625132547985,0.23807718768474545,0.01567869827495654
top_10,concept-graphs,replica,office2,0.48845696166158226,0.0006126378435147909,0.14923618481396686,0.2903162999906169,0.062073436109394475,0.009304479581062211
top_10,concept-graphs,replica,office3,0.5891520741265084,0.0,0.05181685077044869,0.21839050653324313,0.11816762463546769,0.022472943934478788
top_10,concept-graphs,replica,office4,0.5211711058965983,0.0,0.07422199704727465,0.18405118603685583,0.17565692855994794,0.04489878245956745
top_10,concept-graphs,replica,room0,0.5086608749536968,0.0,0.0987953079665985,0.28139546530744924,0.09596586246696279,0.015182489305387528
top_10,concept-graphs,replica,room1,0.7502848122352933,0.0007687356979405052,0.1130262005632907,0.08936314486565618,0.04444386376837999,0.0021132428693655817
top_10,concept-graphs,replica,room2,0.6049812883727322,0.0020751412616065753,0.05231798231999276,0.28213783057445163,0.03828616859312872,0.02020158887797696
top_10,concept-graphs,scannetpp,0a76e06478,0.31526867915655504,0.05447526946903981,0.1059022408914327,0.11136093865563616,0.28675178596726597,0.1262410858595508
top_10,concept-graphs,scannetpp,0a7cc12c0e,0.4233130881473211,0.01780567961046555,0.054682280045474506,0.14838371868031808,0.28903854459310524,0.06677668892297894
top_10,concept-graphs,scannetpp,1f7cbbdde1,0.3591724691553214,0.014122914610983913,0.06076159293328801,0.19582413187872774,0.2589997215312428,0.11111916989029348
top_10,concept-graphs,scannetpp,49a82360aa,0.31672046922216307,0.00912574120207538,0.10957458857124194,0.08586834836718193,0.3477281859480005,0.13098266668939
top_10,concept-graphs,scannetpp,4c5c60fa76,0.3259446835765608,0.01336511467977463,0.05114655605609622,0.09397374896770985,0.4487626860020004,0.06680721071799585
top_10,concept-graphs,scannetpp,8a35ef3cfe,0.35551670383994505,0.019316638040976514,0.027298074499963892,0.07157321891099373,0.37988193254797503,0.14641343216148095
top_10,concept-graphs,scannetpp,c0f5742640,0.32144150069544974,0.019413648277255606,0.08151240491797963,0.16822082809055228,0.22138575070605782,0.18802586731292156
top_10,concept-graphs,scannetpp,fd361ab85f,0.3733163494115773,0.013680659670164965,0.0230072126726584,0.09533760664258473,0.28832028313841657,0.20633788846442344
